no,flag
5124,0.1444398
14114,0.07151229
3390,0.1344157
9010,0.075223505
9301,0.026878564
16502,0.0290513
14257,0.10201847
3857,0.05975304
5338,0.086694084
16854,0.09025838
79,0.073402934
7962,0.053367544
12044,0.046520405
10027,0.016728004
9222,0.101981916
4622,0.10408255
13349,0.0926471
6391,0.045954667
14512,0.06960697
4362,0.05659089
5236,0.062399473
8327,0.026134536
11677,0.094209455
6581,0.07887627
5083,0.047588993
14404,0.05077754
869,0.054061778
10465,0.14560594
10574,0.08675815
11212,0.23829724
12120,0.09174546
8597,0.066960715
5346,0.08963751
7508,0.08188469
4755,0.09299217
1554,0.0859051
15536,0.06664951
11471,0.040771596
15171,0.021586355
9057,0.075223505
12017,0.07688856
13230,0.075223505
4828,0.047755394
4746,0.11997761
1153,0.0695063
5619,0.05157517
4237,0.06658792
14662,0.06617913
14856,0.05252261
11325,0.034207664
5538,0.02665956
17128,0.033480212
2073,0.060789913
13003,0.041261073
9694,0.047588993
12071,0.051952753
13007,0.060353726
15651,0.035563447
16975,0.07369521
320,0.097953506
14878,0.049477473
10160,0.03582536
4944,0.10239079
1677,0.08181097
7594,0.06844557
12852,0.0995408
1057,0.07688856
5666,0.074498564
12983,0.06839327
14510,0.07532919
9191,0.065111056
14308,0.158142
11748,0.0776678
10951,0.030688703
2633,0.13929944
2796,0.067876585
10174,0.060069717
3257,0.07532919
4660,0.08675815
5158,0.06391023
12818,0.07653641
5257,0.075223505
3067,0.041827805
8283,0.076093934
7683,0.07887627
12824,0.08142878
4501,0.07476775
11689,0.059409972
192,0.038841855
6948,0.0909436
3610,0.051538218
9732,0.05416552
16174,0.117051214
9643,0.048674565
11343,0.075223505
9616,0.12028275
9247,0.08675815
15082,0.07887627
13571,0.034936085
12482,0.08781538
7427,0.028024323
10704,0.04903151
12492,0.06111709
6828,0.047588993
14448,0.031214591
8323,0.021099212
5545,0.14226109
371,0.25676754
6297,0.049477473
8533,0.08241531
10449,0.08061514
1167,0.03006274
7731,0.11086273
12505,0.07369521
16662,0.032074332
13703,0.08061514
4858,0.018124385
14939,0.023821035
8087,0.046651512
426,0.06664951
9251,0.026316402
9135,0.075223505
3557,0.075223505
2296,0.07822807
15195,0.07041353
15053,0.09475559
13539,0.027554581
9362,0.038652435
4075,0.02025371
9922,0.050842587
16350,0.035341885
11511,0.055427458
9981,0.05349377
15497,0.045715198
12108,0.031158496
14641,0.08332281
13998,0.07653641
9303,0.026868135
4678,0.075223505
6305,0.067876585
12995,0.06280956
16393,0.101470634
6870,0.07369521
